[32, 48]
[0, 16]
[64, 80]
[96, 112]
[160, 176]
[192, 208]
[128, 144]
[224, 240]
[320, 336]
[256, 272]
[288, 304]
[352, 368]
[416, 432]
[384, 400]
[448, 464]
[480, 496]
[544, 560]
[576, 592]
[512, 528]
[608, 624]
[640, 656]
[672, 688]
[704, 720]
[736, 752]
[832, 848]
[768, 784]
[800, 816]
[864, 880]
[896, 912]
[928, 944]
[960, 976]
[992, 1008]
[1024, 1040]
[1056, 1072]
[1088, 1104]
[1120, 1136]
[1184, 1200]
[1152, 1168]
[1216, 1232]
[1248, 1264]
[1280, 1296]
[1312, 1328]
[1344, 1360]
[1376, 1392]
[1408, 1424]
[1440, 1456]
[1472, 1488]
[1504, 1520]
[1568, 1584]
[1536, 1552]
[1600, 1616]
[1632, 1648]
[1664, 1680]
[1696, 1712]
[1728, 1744]
[1760, 1776]
[1792, 1808]
[1824, 1840]
[1856, 1872]
[1888, 1904]
[1952, 1968]
[1920, 1936]
[1984, 2000]
[2080, 2096]
[2048, 2064]
[2016, 2032]
[2112, 2128]
[2176, 2192]
[2208, 2224]
[2144, 2160]
[2240, 2256]
[2304, 2320]
[2368, 2384]
[2336, 2352]
[2272, 2288]
[2400, 2416]
[2432, 2448]
[2464, 2480]
[2496, 2512]
[2528, 2544]
[2592, 2608]
[2560, 2576]
[2624, 2640]
[2720, 2736]
[2688, 2704]
[2656, 2672]
[2752, 2768]
[2784, 2800]
[2848, 2864]
[2816, 2832]
[2880, 2896]
[2944, 2960]
[2976, 2992]
[3008, 3024]
[3072, 3088]
[3040, 3056]
[3104, 3120]
[3136, 3152]
[3168, 3184]
[3200, 3216]
[2912, 2928]
[3264, 3280]
[3232, 3248]
[3296, 3312]
[3328, 3344]
[3360, 3376]
[3392, 3408]
[3456, 3472]
[3424, 3440]
[3488, 3504]
[3520, 3536]
[3552, 3568]
[3584, 3600]
[3616, 3632]
[3648, 3664]
[3680, 3696]
[3712, 3728]
[3776, 3792]
[3744, 3760]
[3840, 3856]
[3808, 3824]
[3872, 3888]
[3936, 3952]
[3904, 3920]
[3968, 3984]
[4032, 4048]
[4064, 4080]
[4000, 4016]
[4096, 4112]
[4192, 4208]
[4160, 4176]
[4128, 4144]
[4224, 4240]
[4256, 4272]
[4320, 4336]
[4352, 4368]
[4288, 4304]
[4416, 4432]
[4384, 4400]
[4480, 4496]
[4448, 4464]
